food_exp,income,residuals,income_trans,predicted
115.22,3.69,-5.869584573120333,369,121.0895845731206
135.98,4.39,7.7436653491958705,438.99999999999994,128.23633465080417
119.34,4.75,-12.571806119327091,475,131.91180611932703
114.96,6.03,-30.02014911852008,603,144.98014911852
187.05,12.47,-23.680249833209515,1247,210.73024983320948
243.92,12.98,27.982832253049526,1298,215.93716774695042
267.43,14.2,39.03706783194379,1420,228.39293216805618
238.71,14.76,4.599667769796878,1476,234.1103322302031
295.94,15.32,56.11226770764995,1532,239.82773229235002
317.78,16.39,67.02794973176206,1639,250.75205026823784
216,17.35,-44.55330751763261,1735.0000000000002,260.5533075176326
240.35,17.77,-24.491357564242783,1777,264.84135756424274
386.57,17.93,120.09509956085809,1793,266.4749004391419
261.53,18.43,-10.049721923201663,1843,271.57972192320165
249.34,18.55,-23.464879079375983,1855,272.80487907937595
309.87,18.8,34.51271017859415,1880,275.35728982140586
345.89,18.81,70.43061374891296,1880.9999999999998,275.459386251087
165.54,19.04,-112.26760413375453,1904,277.80760413375447
196.98,19.22,-82.66533986801603,1922,279.645339868016
395.26,19.93,108.36581362461912,1993,286.89418637538085
406.34,20.13,117.40388503099521,2013,288.93611496900473
171.92,20.33,-119.05804356262865,2032.9999999999998,290.9780435626286
303.23,20.37,11.843570718646577,2037,291.38642928135346
377.04,20.43,85.04099214055942,2043,291.99900785944055
194.35,21.45,-108.06284368692248,2145,302.4128436869225
213.48,22.52,-99.85716166281033,2252,313.33716166281033
293.87,22.55,-19.773450951853917,2255,313.64345095185394
259.61,22.86,-57.198440271970924,2286,316.80844027197094
323.71,24.2,-6.779361849251067,2420,330.48936184925105
275.02,24.39,-57.409194013193776,2439,332.42919401319375
109.71,24.42,-223.02548330223738,2442,332.73548330223736
359.19,25.2,18.490995182629455,2520,340.69900481737056
201.51,25.5,-142.25189770780642,2550,343.7618977078064
460.36,26.61,105.26539859758101,2661,355.094601402419
447.76,26.7,91.74653073045023,2670,356.0134692695498
482.55,27.14,122.04428782447768,2714,360.5057121755224
438.29,27.16,77.5800949651153,2716,360.70990503488474
587.66,28.62,212.04401623166078,2862,375.61598376833916
257.95,29.4,-125.62950528347237,2940,383.5795052834724
375.73,33.4,-48.68807715595026,3340,424.41807715595036
